index,url,valid,domain,title,description,image,published,archive,content,quote,language,term,topic,feed,country,ipcc,continent
https://www.abc.net.au/news/2026-04-04/cyclone-narelle-destructive-path-across-australia-pictures-video/106513492,https://www.abc.net.au/news/2026-04-04/cyclone-narelle-destructive-path-across-australia-pictures-video/106513492,0,www.abc.net.au,"The destructive path of Cyclone Narelle, pieced together frame by frame","From the very first news reports about Severe Tropical Cyclone Narelle, it was clear this wasn't just another storm. This is the story of how the cyclone impacted the entire span of northern Australia and how communities came together to pick up the pieces.",https://live-production.wcms.abc-cdn.net.au/7a2ba512b6edc299c1199bdec82af1cc?impolicy=wcms_watermark_news&cropH=1080&cropW=1920&xPos=0&yPos=100&width=862&height=485&imformat=generic,2026-04-03T19:39:26Z,,"From the very first news reports about Severe Tropical Cyclone Narelle, it was clear this wasn't just another storm.
Its fury was forecast to be felt across Australia's entire northern span.
And it… [+11868 chars]",,en,cyclone,Tropical Cyclone,random,,,
https://www.abc.net.au/news/2026-04-06/qld-mild-weather-east-coast-showers-cyclone-maila-intensifies/106532504,https://www.abc.net.au/news/2026-04-06/qld-mild-weather-east-coast-showers-cyclone-maila-intensifies/106532504,0,www.abc.net.au,"Scattered rain, strong wind along Qld coast as forecasters watch TC Maila","The majority of Queensland will enjoy mild weather this week, with scattered showers across the east coast, while further north, Cyclone Maila is set to intensify.",https://live-production.wcms.abc-cdn.net.au/07fb3f0f858601a2ef7639925cb7096b?impolicy=wcms_watermark_news&cropH=2813&cropW=5000&xPos=0&yPos=0&width=862&height=485&imformat=generic,2026-04-05T20:02:41Z,,"South-easterly winds will bring scattered showers to much of Queensland's east coast this week, leaving inland parts of the state dry.
Meanwhile, forecasters are keeping watch as a tropical cyclone … [+2031 chars]",,en,cyclone,Tropical Cyclone,random,,,
https://www.nzherald.co.nz/nz/northland-orange-warning-as-heavy-rain-spreads-across-upper-north-island/HQ3ZCOLCQJBKNOGI4KE5DF2XQ4/,https://www.nzherald.co.nz/nz/northland-orange-warning-as-heavy-rain-spreads-across-upper-north-island/HQ3ZCOLCQJBKNOGI4KE5DF2XQ4/,0,www.nzherald.co.nz,Northland orange warning as heavy rain spreads across upper North Island,MetService is also monitoring two tropical cyclones currently active in Pacific waters.,https://www.nzherald.co.nz/resizer/v2/UM3IHS2AYNH5DPVHTJJNAX3K7Q.png?auth=46230e8fe30c9b48868cbef03e7c1f8b1937970504209eff107202311b6581a3&width=1200&height=675&quality=70&focal=158%2C126&smart=false,2026-04-06T17:00:00Z,,"Northland could also see surface flooding, slips and difficult driving conditions, she said.
Residents were advised to clear drains and gutters, avoid low-lying areas and drive cautiously.
A strong… [+1638 chars]",,en,cyclone,Tropical Cyclone,random,,,
https://www.abc.net.au/news/2026-04-07/severe-tropical-cyclone-maila-forecast-qld-weather/106534414,https://www.abc.net.au/news/2026-04-07/severe-tropical-cyclone-maila-forecast-qld-weather/106534414,0,www.abc.net.au,Tropical Cyclone Maila likely to cross Far North Queensland,"The Bureau of Meteorology is increasingly confident the system will move towards the Queensland coast later in the week, potentially crossing Cape York Peninsula.",https://live-production.wcms.abc-cdn.net.au/7711911f3b50bbd80e23f42ae5cdd112?impolicy=wcms_watermark_news&cropH=788&cropW=1401&xPos=76&yPos=0&width=862&height=485&imformat=generic,2026-04-06T19:16:41Z,,"The Bureau of Meteorology is increasingly confident Severe Tropical Cyclone Maila will head towards the Far North Queensland coast, likely crossing Cape York Peninsula around Sunday.
The category th… [+2415 chars]",,en,Tropical Cyclone Maila,Tropical Cyclone,eonet,,EPO,Pacific Ocean
https://economictimes.indiatimes.com/news/international/australia/australian-travellers-on-high-alert-as-twin-cyclone-threat-looms-over-holiday-hotspots-check-updates/articleshow/130077760.cms,https://economictimes.indiatimes.com/news/international/australia/australian-travellers-on-high-alert-as-twin-cyclone-threat-looms-over-holiday-hotspots-check-updates/articleshow/130077760.cms,0,economictimes.indiatimes.com,Australian travellers on high alert as twin cyclone threat looms over holiday hotspots; check updates,"Australian travellers face a high alert as two powerful cyclones approach. One storm is intensifying off Fiji's coast, threatening widespread disruptions. Authorities urge caution and updates as conditions worsen. Vaianu, a category 3 cyclone, nears Fiji's we…","https://img.etimg.com/thumb/msid-130077922,width-1200,height-630,imgsize-47640,overlay-economictimes/articleshow.jpg",2026-04-07T06:07:32Z,,"Australian travellers are being put on high alert as two powerful cyclones close in on the region, with one system intensifying off the coast of Fiji. Authorities are warning that the developing stor… [+1893 chars]",,en,cyclone,Tropical Cyclone,random,,,
https://www.abc.net.au/news/2026-04-07/fiji-flight-diverted-after-three-landing-attempts/106539854,https://www.abc.net.au/news/2026-04-07/fiji-flight-diverted-after-three-landing-attempts/106539854,0,www.abc.net.au,Passengers vomiting as Fiji flight makes three landing attempts in bad weather,A Fiji Airways flight from Sydney had to divert after bad weather from a tropical cyclone thwarted its attempts to land.,https://live-production.wcms.abc-cdn.net.au/0241a849b0e159187393a0f7c0e8ea6a?impolicy=wcms_watermark_news&cropH=2813&cropW=5000&xPos=0&yPos=242&width=862&height=485&imformat=generic,2026-04-07T10:40:29Z,,"A Fiji Airways flight carrying dozens of passengers from Sydney has had to divert after bad weather from a tropical cyclone thwarted three attempted landings at the Fijian tourism hub of Nadi.
Austr… [+2888 chars]",,en,cyclone,Tropical Cyclone,random,,,
https://www.nzherald.co.nz/nz/north-island-weather-warnings-as-heavy-rain-and-wind-hit-ahead-of-cyclone-vaianu/RGMZZ44OMNGNBLAQ2PWZFFYAJM/,https://www.nzherald.co.nz/nz/north-island-weather-warnings-as-heavy-rain-and-wind-hit-ahead-of-cyclone-vaianu/RGMZZ44OMNGNBLAQ2PWZFFYAJM/,0,www.nzherald.co.nz,North Island weather warnings as heavy rain and wind hit ahead of Cyclone Vaianu,Niwa warns most scenarios indicate landfall somewhere in the upper North Island.,https://www.nzherald.co.nz/resizer/v2/VQQ2EGCHUFDXVHJWIW7SCVDDR4.jpg?auth=67e18fc8d6799b554de2871250a710ca9184637e58bd8f897306cd5f3280f9b2&width=1200&height=675&quality=70&smart=true,2026-04-07T17:00:00Z,,"Up to 120mm of rain is also forecast for Northland, with a moderate risk the watch in place will be upgraded to a warning.
Road closures are in effect for some parts of the region, with flooding and… [+2607 chars]",,en,landfall,Tropical Cyclone,random,,,
https://www.abc.net.au/news/2026-04-08/severe-tropical-cyclone-maila-nears-far-north-queensland/106538554,https://www.abc.net.au/news/2026-04-08/severe-tropical-cyclone-maila-nears-far-north-queensland/106538554,0,www.abc.net.au,Tourists urged not to cancel plans as Cyclone Maila nears Far North Qld,"Severe Tropical Cyclone Maila is expected to cross into Far North Queensland on Sunday, but with a likely limited impact",https://live-production.wcms.abc-cdn.net.au/eb98c40355fd0bcc25fd46d371b752ce?impolicy=wcms_watermark_news&cropH=638&cropW=1134&xPos=0&yPos=47&width=862&height=485&imformat=generic,2026-04-07T19:36:50Z,,"The Bureau of Meteorology says the impacts of Severe Tropical Cyclone Maila, which is looming about 1,300 kilometres off Queensland, will be largely confined to the Far North.
The category three cyc… [+3886 chars]",,en,Tropical Cyclone Maila,Tropical Cyclone,eonet,,EPO,Pacific Ocean
https://www.nzherald.co.nz/bay-of-plenty-times/news/tropical-cyclone-vaianu-tracking-south-as-metservice-issues-early-severe-weather-watch/65EYRSCEMBDUNA5UF2CO5LTITM/,https://www.nzherald.co.nz/bay-of-plenty-times/news/tropical-cyclone-vaianu-tracking-south-as-metservice-issues-early-severe-weather-watch/65EYRSCEMBDUNA5UF2CO5LTITM/,0,www.nzherald.co.nz,Tropical Cyclone Vaianu tracking south as MetService issues early severe weather watch,"MetService says damaging, life‑threatening winds are possible on Sunday.",https://www.nzherald.co.nz/resizer/v2/UXORG6XHTBG5ZLVEXOEPXKXV2I.jpg?auth=975ae7f8f8d82c2a07493e5d4ee0a7e8d9ab1dbe4b899c208f580b34fc64f12b&width=1200&height=675&quality=70&focal=630%2C570&smart=false,2026-04-08T03:00:00Z,,"If the cyclone tracks as indicated, parts of the North Island could face damaging, potentially lifethreatening, winds and periods of heavy rain.
MetService said theres a high chance the watch will b… [+4933 chars]",,en,Tropical Cyclone Vaianu,Tropical Cyclone,eonet,,SPO,Pacific Ocean
https://economictimes.indiatimes.com/news/et-explains/what-is-el-nio-how-it-may-impact-indias-monsoon-in-2026/articleshow/130115615.cms,https://economictimes.indiatimes.com/news/et-explains/what-is-el-nio-how-it-may-impact-indias-monsoon-in-2026/articleshow/130115615.cms,0,economictimes.indiatimes.com,What is El Niño? How it may impact India’s monsoon in 2026,"The Reserve Bank of India has flagged El Niño as a potential inflation risk, following forecasts of below-normal monsoon rainfall in 2026. El Niño, characterized by warming Pacific waters, disrupts global weather patterns. While generally linked to weaker mon…","https://img.etimg.com/thumb/msid-130115687,width-1200,height-630,imgsize-194152,overlay-economictimes/articleshow.jpg",2026-04-08T13:43:31Z,,"The Reserve Bank of India, while announcing its policy rates earlier today, flagged El Niño as a potential risk to inflation. The warning followed a forecast by Skymet Weather suggesting that India c… [+2856 chars]",,en,Rain India,Precipitation,wmo,India,SAS,Asia
