index,url,valid,domain,title,description,image,published,archive,content,quote,language,term,topic,feed,country,ipcc,continent
https://en.vietnamplus.vn/thailand-deploys-rainmaking-planes-to-battle-drought-pollution/280230.vnp,https://en.vietnamplus.vn/thailand-deploys-rainmaking-planes-to-battle-drought-pollution/280230.vnp,0,en.vietnamplus.vn,"Thailand deploys rainmaking planes to battle drought, pollution​",The Thai government plans to deploy 30 aircraft nationwide for cloud-seeding operations to induce artificial rain to battle air pollution and ease dry weather conditions in the main crop-growing areas.,,2024-03-01T02:26:00Z,,"Bangkok (VNA) The Thai government
plans to deploy 30 aircraft nationwide for cloud-seeding operations to induce
artificial rain to battle air pollution and ease dry weather conditions in the
main … [+1394 chars]",,en,Rain Thailand,Precipitation,wmo,Thailand,SEA,Asia
https://uk.news.yahoo.com/visibility-near-zero-blizzard-hits-034142197.html,https://uk.news.yahoo.com/visibility-near-zero-blizzard-hits-034142197.html,0,uk.news.yahoo.com,Visibility 'Near Zero' as Blizzard Hits Northern Canada,"Environment Canada warned visibility would be “near zero” at times in northern Canada as a blizzard hit Nunavut on Thursday, February 29.Video filmed by Connie Nowdluk shows snow falling and heavy winds in Iqaluit, Nunavut, on Thursday.“The wind is quite stro…",https://media.zenfs.com/en/video.storyful.com/6dd1562f59680809a548d9eac7652c56,2024-03-01T03:41:42Z,,"Environment Canada warned visibility would be near zero at times in northern Canada as a blizzard hit Nunavut on Thursday, February 29.
Video filmed by Connie Nowdluk shows snow falling and heavy wi… [+430 chars]",,en,Snow Canada,Snow&Ice,wmo,Canada,NEN,North-America
https://allafrica.com/stories/202403010002.html,https://allafrica.com/stories/202403010002.html,0,allafrica.com,"Tanzania: Serengeti Migration - Fire and Rain Affect How Zebras, Wildebeest and Gazelles Make the Journey","[The Conversation Africa] Tanzania's Serengeti ecosystem is like a time machine. As one of the world's last remaining fully intact grazing ecosystems it provides a glimpse of what others in Australia, Eurasia and the Americas might have looked like when commu…",https://cdn08.allafrica.com/static/images/structure/aa-logo-rgba-no-text-square.png,2024-03-01T04:13:49Z,https://web.archive.org/web/20240301051950/https://allafrica.com/stories/202403010002.html,"Tanzania's Serengeti ecosystem is like a time machine. As one of the world's last remaining fully intact grazing ecosystems it provides a glimpse of what others in Australia, Eurasia and the Americas… [+8113 chars]",,en,Rain Tanzania,Precipitation,wmo,Tanzania,SEAF,Africa
https://www.bostonglobe.com/2024/03/01/nation/some-left-helpless-watch-largest-wildfire-texas-history-devastates-their-town/,https://www.bostonglobe.com/2024/03/01/nation/some-left-helpless-watch-largest-wildfire-texas-history-devastates-their-town/,0,www.bostonglobe.com,Some left helpless to watch as largest wildfire in Texas history devastates their town,"The largest wildfire in Texas history has killed two people and left behind a desolate landscape of scorched prairie, dead cattle and burned-out homes in the Texas Panhandle.",https://bostonglobe-prod.cdn.arcpublishing.com/resizer/ybjsfTFFX3ssYpAJGlRfRV4R8WE=/506x0/cloudfront-us-east-1.images.arcpublishing.com/bostonglobe/BMWTGKM6IP5R4BVDR3MQURWXIU.jpg,2024-03-01T05:25:03Z,,"Phillips one-story home was still standing, but several of his neighbors weren't so fortunate.
Stinnett's destruction was a reminder that, even as snow fell Thursday and helped firefighters, crews a… [+4808 chars]",,en,Wildfire Texas,Wildfire,fema,United States,CNA,North-America
https://www.counterpunch.org/2024/03/01/after-fukushima-meltdowns-13-years-of-accidents-quakes-insults/,https://www.counterpunch.org/2024/03/01/after-fukushima-meltdowns-13-years-of-accidents-quakes-insults/,0,www.counterpunch.org,"After Fukushima Meltdowns: 13 Years of Accidents, Quakes, Insults","The catastrophic earthquake, tsunami, and three reactor meltdowns that struck northeast Japan at Fukushima in March 2011 began a pollution disaster that keeps growing and surprising. From recent contamination of edible plants, and frequent earthquakes threate…",https://www.counterpunch.org/wp-content/uploads/2024/02/Screen-Shot-2024-02-29-at-12.05.35-PM-680x514.png,2024-03-01T06:55:54Z,,"Fukushima nuclear accident. (2024, February 9). In Wikipedia. 
The catastrophic earthquake, tsunami, and three reactor meltdowns that struck northeast Japan at Fukushima in March 2011 began a pollut… [+11488 chars]",,en,Earthquake Japan,Earthquake,relief,Japan,EAS,Asia
https://www.npr.org/2024/03/01/1235118336/sierra-nevada-snow-powerful-storm-blizzard,https://www.npr.org/2024/03/01/1235118336/sierra-nevada-snow-powerful-storm-blizzard,0,www.npr.org,Parts of the Sierra Nevada are likely to get 10 feet of snow by the weekend,The most powerful Pacific storm of the season began barreling into the region Thursday. It is expected to close major highways and trigger power outages Friday afternoon into Saturday.,https://media.npr.org/assets/img/2024/03/01/ap24061014353960_wide-8e61e6973a890485f11c856fb335f05300bde536-s1400-c100.jpg,2024-03-01T08:02:41Z,,"Skiers enjoy a day of skiing and snow fall at North Star California Resort on Thursday, Feb. 29, 2024, in Truckee, Calif.
Andy Barron/AP
RENO, Nev. The most powerful Pacific storm of the season is â€¦ [+4965 chars]",,en,storm,Storm,random,,,
https://www.irishtimes.com/ireland/2024/03/01/ireland-wakes-to-snow-with-weather-warnings-in-place-for-several-counties/,https://www.irishtimes.com/ireland/2024/03/01/ireland-wakes-to-snow-with-weather-warnings-in-place-for-several-counties/,0,www.irishtimes.com,Ireland wakes to snow with weather warnings in place for several counties,Spring begins with a blast of winter in parts of the country as motorists are advised to take extra care on the roads,https://www.irishtimes.com/resizer/1MEuILnd9aodMgRGxqSj2JNxbcI=/1200x630/filters:format(jpg):quality(70)/cloudfront-eu-central-1.images.arcpublishing.com/irishtimes/F75B3VE4I5E45A2L65HWCB7NNU.jpg,2024-03-01T08:17:41Z,,"Ireland woke to snow on Friday morning, with a status yellow weather warning in several counties amid heavy snowfalls and ice.
March, to quote the well-known weather proverb, is coming in like a lio… [+1631 chars]",,en,Snow Ireland,Snow&Ice,wmo,Ireland,NEU,Europe
https://www.euronews.com/green/2024/03/01/state-of-emergency-declared-in-sicily-due-to-drought,https://www.euronews.com/green/2024/03/01/state-of-emergency-declared-in-sicily-due-to-drought,0,www.euronews.com,State of emergency declared in Sicily due to drought,"Severe lack of rain and poor maintenance of irrigation facilities have led to water rationing affecting more than 800,000 citizens.",https://static.euronews.com/articles/stories/08/27/72/12/1200x675_cmsv2_94c80a2a-0ded-5250-abe9-40ad79cf4762-8277212.jpg,2024-03-01T08:31:26Z,,"Severe lack of rain and poor maintenance of irrigation facilities have led to water rationing affecting more than 800,000 citizens.
 A state of emergency has been declared in Sicily, as the region eâ€¦ [+2692 chars]",,en,drought,Drought,random,,,
https://indianexpress.com/article/explained/explained-climate/climate-change-farmer-protests-europe-9190128/,https://indianexpress.com/article/explained/explained-climate/climate-change-farmer-protests-europe-9190128/,0,indianexpress.com,How climate change has fuelled farmers’ protests in Europe,"Extreme weather events such as floods and droughts have hugely burdened the agriculture sector. At the same time, farmers are also protesting against the EU’s environmental regulations which aim to prevent the very climate change impacts that have severely ha…",https://images.indianexpress.com/2024/03/europe-farmers-protests.jpg,2024-03-01T10:45:47Z,,"Even after months of farmers protests across Europe, lawmakers have failed to quell their anger. Earlier this week, protesting farmers blocked the border between Poland and Germany, threw bottles at … [+5899 chars]",,en,severe weather,Thunderstorm,random,,,
https://www.irishtimes.com/ireland/2024/03/01/in-pictures-snow-falls-across-ireland-as-march-brings-a-white-spring/,https://www.irishtimes.com/ireland/2024/03/01/in-pictures-snow-falls-across-ireland-as-march-brings-a-white-spring/,0,www.irishtimes.com,In Pictures: Snow falls across Ireland as March brings a ‘white spring’,"There were particularly heavy snowfalls in parts of the midlands, some Border counties and in Dublin",https://www.irishtimes.com/resizer/GW-oUu-bowYGq4TCtLkvL5_wziI=/1200x630/filters:format(jpg):quality(70)/cloudfront-eu-central-1.images.arcpublishing.com/irishtimes/TRZRGBGG5N6QPCULHW3ZCGJE7Q.jpg,2024-03-01T11:02:08Z,,"Ireland woke to snowfalls on Friday, the first day of (meteorological) spring. While snow was general all over Ireland, to paraphrase James Joyce, it was particularly heavy in parts of the midlands, … [+835 chars]",,en,Snow Ireland,Snow&Ice,wmo,Ireland,NEU,Europe
https://www.newsweek.com/russian-ships-very-strange-black-sea-manoeuvre-raises-questions-1875037,https://www.newsweek.com/russian-ships-very-strange-black-sea-manoeuvre-raises-questions-1875037,0,www.newsweek.com,Russian Ships' 'Very Strange' Black Sea Manoeuvre Raises Questions,"Ukraine navy spokesman pointed to an ""interesting incident"" that recently occurred with a group of Russian vessels in the Bosporus Strait.",https://d.newsweek.com/en/full/2343758/ukraines-navy-explains-importance-sinking-russiaship.jpg,2024-03-01T11:49:11Z,,"Russian ships appear to be acting with more caution in the Black Sea after a series of Ukraine marine drone attacks decimated Putin's navy in the region.
In a recent ""interesting incident,"" a group … [+4054 chars]",,en,Lack of Rain Russia,Drought,edo,Russia,,
https://financialpost.com/globe-newswire/boralex-posts-record-net-earnings-of-115-million-for-2023-and-increases-its-financial-flexibility-with-nearly-550-million-in-available-cash-resources-and-authorized-financing1-to-support-its-growth,https://financialpost.com/globe-newswire/boralex-posts-record-net-earnings-of-115-million-for-2023-and-increases-its-financial-flexibility-with-nearly-550-million-in-available-cash-resources-and-authorized-financing1-to-support-its-growth,0,financialpost.com,"Boralex posts record net earnings of $115 million for 2023 and increases its financial flexibility, with nearly $550 million in available cash resources and authorized financing1 to support its growth","Highlights Financial results Significant increase in earnings for the fourth quarter and record results achieved in fiscal 2023 overall Increase is mainly attributable to strong wind farm performance and the commissioning of assets in France, as well as the i…",,2024-03-01T12:01:13Z,,"Article content
Highlights
Financial results
<ul><li>Significantincreaseinearningsforthefourthquarterandrecordresultsachievedinfiscal2023 overall<ul><li>Increase is mainly attributable to strong w… [+44758 chars]",,en,Wind France,Storm,meteo,France,WCE,Europe
